"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region","cat","cat2","Region2"
71211,"SUERC-34528",4145,45,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
71212,"SUERC-34529",3495,30,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
71213,"SUERC-34533",3670,30,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
71214,"SUERC-34534",3620,30,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
71215,"SUERC-34535",4115,35,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
57932,"SUERC-3480",4435,35,"nutshell (charred)","Corylus avellana",23504,"Church Lawford",-1.3408,52.3828,"SEEngland","hazelnut","Hazelnut","england_wales"
57933,"SUERC-3483",4215,40,"nutshell (charred)","Corylus avellana",23504,"Church Lawford",-1.3408,52.3828,"SEEngland","hazelnut","Hazelnut","england_wales"
57934,"SUERC-3484",4330,35,"nutshell (charred)","Corylus avellana",23504,"Church Lawford",-1.3408,52.3828,"SEEngland","hazelnut","Hazelnut","england_wales"
57935,"SUERC-3485",3985,40,"nutshell (charred)","Corylus avellana",23504,"Church Lawford",-1.3408,52.3828,"SEEngland","hazelnut","Hazelnut","england_wales"
57936,"SUERC-3486",3835,35,"nutshell (charred)","Corylus avellana",23504,"Church Lawford",-1.3408,52.3828,"SEEngland","hazelnut","Hazelnut","england_wales"
57937,"SUERC-3487",4135,35,"nutshell (charred)","Corylus avellana",23504,"Church Lawford",-1.3408,52.3828,"SEEngland","hazelnut","Hazelnut","england_wales"
57940,"SUERC-3493",3420,35,"nutshell (charred)","Corylus avellana",23525,"King's Newnham",-1.3363,52.3904,"SEEngland","hazelnut","Hazelnut","england_wales"
